order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
0966b61e30c4a07edbd7523f59b3f3e4,2fcc597b8934d99715dbfff7909dd27f,canceled,2018-05-22 18:50:55,2018-05-22 19:17:15,2018-05-23 19:17:15,2018-05-26 19:17:15,2018-07-03,a47832fc905918220d6e1a9642bbd0eb,1,Não recebi o produto,"Comprei o produto e depois eles informaram que não tinham no estoque, mas no site da lannister ele continuava disponível para venda. Já solicitei o cancelamento da compra, porém não obtive resposta.",2018-07-05,2018-07-05 12:35:40
bcdad86f44c780bf1aaf24b66dd97753,f3f955ae1cc137ab2ec810ee255b2662,canceled,2018-08-05 03:49:18,2018-08-05 04:04:24,2018-08-05 05:04:24,2018-08-08 05:04:24,2018-08-20,046748be03abb9d0829a5b8a9188e2cc,1,Sem produto em estoque,"Comprei e depois me avisaram que não tinha estoque, situação extremamente desagradável.",2018-08-22,2018-08-22 10:55:37
36f66ebfbd144aa6fb39338bd87b0bf9,31d62517aee3298dee0ace2f38dc8bb4,canceled,2018-02-26 00:11:02,2018-02-27 04:31:24,2018-02-27 05:31:24,2018-03-02 05:31:24,2018-06-13,40c2afd2df7298f4518e6e4acbe08023,5,Aguardando a entrega,Fui comunicada do atraso!,2018-06-16,2018-06-18 14:29:50
b54861ba91f988d9f961bdcd1a9a2026,efe9fcb063deef55ade34b4d7b6df704,canceled,2018-05-14 19:05:40,2018-05-14 19:18:12,2018-05-15 19:18:12,2018-05-18 19:18:12,2018-06-08,cd50524d1ca194b7b90db54e58a55598,1,Insatisfação,"A empresa não deu retorno aos e-mail enviados, não entrou em contato para falar a respeito da entrega, no entanto não restou outra alternativa se o não o cancelamento da compra.",2018-06-10,2018-06-11 09:15:16
fa4c59a94711decb9c0410a0e7f878bc,47a175c6a4a97dcd0b9fa05c862fe6c6,canceled,2018-07-31 21:45:27,2018-07-31 22:04:19,2018-08-01 22:04:19,2018-08-04 22:04:19,2018-08-08,e884f18df1f1eaf5cd40c370ca2d7387,1,Sem comprometimento,"Sem previsão de recebimento, a lannister deveria não fazer qualquer tipo de negócio e prezar pelo clientes da lannister que são fiéis.",2018-08-10,2018-08-12 14:07:06
acfa87544c19d596707d25cf2f7dab61,d5feeb223000c4c6dfdb7219b681e1d4,canceled,2018-08-17 00:55:54,2018-08-18 00:50:11,2018-08-18 01:50:11,2018-08-21 01:50:11,2018-08-22,3dd6dd8bd30dd50a2b15328239cfcd91,1,nao entregou ,nao entregou o pedido dentro do prazo ja solicitei cancelamento ,2018-08-25,2018-08-27 03:32:14
ab2e482aff4baa52ec6da817af85b981,3fec546fda08f460b090f82fb63bda6c,canceled,2018-06-26 11:43:42,2018-06-26 11:57:05,2018-06-26 12:57:05,2018-06-29 12:57:05,2018-07-19,90eedf0f8432743709657b373978410f,1,0,"Irresponsável,não tem nenhuma preocupação com o cliente pois cancela a venda na véspera da entrega após esperar 45dias.Fui Obrigada a colocar uma coroa para poder deixar aqui minha opinião ",2018-07-21,2018-07-24 04:38:23
d93ef0caa7a160caec60b4d6833415a6,6fa5afc4dfe6e55bf4117e62425122ed,canceled,2018-06-25 16:20:24,2018-06-25 16:38:27,2018-06-26 16:38:27,2018-06-29 16:38:27,2018-07-23,63e7d80246143ac20128c947c898a3e8,1,Insatisfação ,"Estou muito insatisfeito com essa loja, qualificação zero, não compro mais nesta loja se fosse o stark retiraria ela da lista de parceiros, venho entrando em contato a dias e sem solução alguma.",2018-07-25,2018-07-25 06:35:25
93274b931b5771bd02154c9b716168ba,0d6ea3b6f1bf6ef08e6b60ce23db077b,canceled,2018-05-08 10:13:06,2018-05-08 10:31:32,2018-05-08 11:31:32,2018-05-11 11:31:32,2018-05-25,b8a5bfbf666ca87c71c455b28a490753,2,Será que foi paralisação?,Nunca tive problema Comba política de entrega das Lojas lannister porém tem reparado que o frete tem ficado cada vez mais caro e os prazos mais extensos.,2018-05-27,2018-05-29 10:20:50
4e27ad7f1a6821ceddc8442eb1875014,bd41e15fdb17d74a176f31ffdf8987df,canceled,2018-04-16 20:22:37,2018-04-16 20:35:26,2018-04-17 20:35:26,2018-04-20 20:35:26,2018-05-10,21e7202cb20e7a54e30b112d39452961,1,Não recebi o produto,Aguardando ainda o recebimento do produto. ,2018-05-12,2018-05-17 00:50:38
8abd0f2c3a61336c2ee97b2785175332,b26210baf58f3919747468874d88c53f,canceled,2018-04-19 13:18:07,2018-04-19 14:31:24,2018-04-19 15:31:24,2018-04-22 15:31:24,2018-05-08,bae91f36949926b4ca868fbd1438c208,3,Loja recomendável,"Geralmente uma boa loja, mas ainda estou aguardando o produto para melhor avaliar.",2018-05-10,2018-05-11 23:27:22
a0f2f8b0523207a13f02225bc812ed23,616b91d43810a9097e1ab529e809b950,canceled,2018-07-31 10:48:42,2018-07-31 11:30:32,2018-07-31 12:30:32,2018-08-03 12:30:32,2018-08-03,f7eb8792e67d53e01a224bfa9b6802b2,1,Horrível,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",2018-08-05,2018-08-05 09:27:55
f7b13a5afd48ca5bcf589a25d5377b00,d791834a0555c0062e98d735083f4373,canceled,2018-07-12 12:14:56,2018-07-12 12:30:12,2018-07-12 13:30:12,2018-07-15 13:30:12,2018-07-30,e2318d02f7e16ff263978c6849cbd006,1,Produto não entregue,"Comprei o produto no dia 12/07, previsão de entrega em 30/07. Até agora nem a nota foi emitida. Já paguei a primeira parcela e não recebi o produto. Ninguem me dá uma resposta de que dia vou receber.",2018-08-01,2018-08-01 11:16:22
1469262ec8414d0e3f821bda79cf14cc,b53f2d80af3f43f230402209960c81e6,canceled,2018-07-16 11:27:29,2018-07-18 03:31:06,2018-07-18 04:31:06,2018-07-21 04:31:06,2018-08-07,804d8b2290ada9ee30357b726971e9ce,1,Produto não entregue.,Até a data de hoje não recebi o produto pago há quase um mês. ,2018-08-11,2018-08-11 16:16:24
847e04c1fabd29748790e74c1430c603,456689adc192943c460cdefd37b4ccfb,canceled,2018-08-06 20:05:00,2018-08-06 20:25:19,2018-08-07 20:25:19,2018-08-10 20:25:19,2018-08-13,282f648dd1155e9f52d6a76b00f53227,1,Pessimo,"Não entregou o produto e nem deu satisfação
",2018-08-15,2018-08-15 13:03:30
2aaab7e991347226dbda1f61c6785f88,55c72a24117236fa6e1e89bb2b4a02e0,canceled,2018-07-25 13:57:52,2018-07-25 15:10:12,2018-07-25 16:10:12,2018-07-28 16:10:12,2018-08-10,2eab2c8f458335e0cfec2a6182988b3e,1,Ruim,Nao se vende e so depois de 1mes avisa nao ter oproduto ,2018-08-12,2018-08-12 15:41:57
00ae7a8b4936674ebb701d4a23719a79,a7e8a3cb55d9c9a536992c6465a46a3f,canceled,2018-05-09 14:14:06,2018-05-09 15:51:32,2018-05-09 16:51:32,2018-05-12 16:51:32,2018-05-17,f9c1a71690bf7288861804ece5383ea1,2,Não posso avaliar ainda,Não recebi o produto ainda,2018-05-19,2018-05-20 18:56:33
6c16d886be4fe03174a289a4ca70a775,780b36c3e066c0251df695c5ce83994e,canceled,2018-06-05 15:06:16,2018-06-05 15:31:39,2018-06-05 16:31:39,2018-06-08 16:31:39,2018-06-29,ba46f8bea5808c800ef788f2837423da,1,Não recebi o produto,Nada de produto!!,2018-07-01,2018-07-03 14:21:49
6954eac303f94f5f51b80deb4ba7be50,4cbc0fdd8d7548de068a1cff9d293da3,canceled,2018-08-03 15:05:58,2018-08-03 15:40:17,2018-08-03 16:40:17,2018-08-06 16:40:17,2018-08-15,2f366b6a18fb7c504494693c19595d13,1,Não recebi,"Não recebi ainda o produto, por não ter nota fiscal o produto não foi liberado",2018-08-17,2018-08-20 19:29:37
